Название;Сайт;Почта;Номер телефона;Адрес;Руководитель;Город
ЮРИДИЧЕСКАЯ-СЛУЖБА ЯКУТСКА ;;;;;Чемякин Артем Павлович;Улан-Удэ  
Финансовые Решения ;;;;;;Курган  
Юристы Новой Москвы ;https://urist-nm.ru/;;79 850 591 919;Москва, посёлок Коммунарка, улица Александры Монаховой, дом 10, этаж 1,офис 7;Козырев Антон Олегович;Москва
Единый центр юридической помощи ;spb-advokati.ru;;8 124 183 345;г. Санкт-Петербург, ул. Фурштатская, д. 31;;Санкт-Петербург
"ЮК ""Постулат права"" ";;dmitrijj-b90@rambler.ru;79224490011;г. Сургут, ул. Маяковского, д. 9;Дмитрий Николаевич;Сургут  
ЮрТрейд ;yur-trade.online;;;;Миронов Анатолий Владимирович ;Пенза  
Стоп Кредит Брянск ;stopkredit.com;bryansk@stopkredit.com;4832 597216, 335300;г. Брянск, ул. Бежицкая, д. 286, корп. 1, оф. 108;Костомаркина Яна Викторовна;Брянск
"ЮК ""PARTNERS"" ";;;;;;Ростов-на-Дону  
"ЗРООЗПП  ""ФЕНИКС"" ";фениксюрист.рф;feniksurist@mail.ru;501701, 83022261573;г. Чита, Чкалова, 135, оф. 302 и 301;Пищулина Анастасия Владимировна;Чита
"ООО ""АМПАРО"" ";;amparo_06@mail.ru;89033586566;г. Чебоксары, ул. Университетская, д. 7, корп. 1;Тихонова Инесса Ивановна;Чебоксары  
PS Legal Association ;www.psleas.ru;stepanov.d@psleas.ru;84957409094, 84993912661;г. Москва, ул. Большой Предтеченский переулок, дом 31;;Москва
"ООО ""Агентство ""ОНИКС"" ";;;89278040539;г.Димитровград;Щетинина Екатерина Александровна;Димитровград 
"""БУХ.УЧЕТиПРАВО"" ";;olga73aleks@mail.ru;3 422 839 738;г.Пермь ул.Ласьвинская д.22 оф.10;;Пермь  
ЮКРАС ;https://yukras.ru/;pravo@yukras.ru;79 379 609 339;Энгельс, улица Маяковского, дом 4, литер Б, офис 308;Краснощек Александр Николаевич;Энгельс  
КАБИНЕТ ЮРИСТА ;;pravda.rf@bk.ru;89081253667 /88002018283;г.Курск, ул.Сумская, д.36, подъезд 2, этаж 2, кабинет 25;Грицай Инна Егоровна;Курск  
"Юридическое агентство ""Стратег"" ";;19-ms@mail.ru;79 232 841 224;г. Абакан, ул. Советская, 48;;Абакан
Мурманский филиал МКА «Закон и право» ;;;;;;Мурманск  
"ООО ""ВС ритейл РУС Пенза"" ";ub-partner.ru;;;;Антипов Алексей Николаевич;Пенза  
"ЗАО ""ИнвестАудит"" ";683473598   www.investaudit.ru;investaudit@bk.ru;3812 510485, 510486;Омск, ул. Щербанева, д. 25, оф. 603.;Генеральный директор Амелин О.А.;Омск  
Alterego ;https://alterego-blog.ru/;kr047@mail.ru;79215754699;Учительская улица, 23, Россия, Санкт-Петербург;Краснопевцев Денис Александрович;Санкт-Петербург
"ООО ""Помощь юристов"" ";otvetpravo.ru;delo@otvetpravo.ru;88001004058;г. Мурманск, Театральный бульвар, д.11;Максимов Сергей Михайлович;Мурманск  
Ваш юрист - Ваш консультант ;https://vk.com/vyvk2016;vyvk2015@yundex.ru;79632307008;г. Нижний Новгород, ул. Веденяпина, д.10, оф.13;Абрамова Кристина Юрьевна;Нижний Новгород  
"Юридическое бюро ""Агенда"" ";;;;;;Казань
"ЮК ""Семенов и Партнеры"" ";https://vk.com/club153743931;zakon63@inbox.ru;89276099218;443052, г. Самара, ул. Береговая д1 оф.202;Cеменова Елена Анатольевна;Самара  
ПравоГрад ;http://zaliv-kvartir.ru/;info@zaliv-kvartir.ru;79 096 873 369;г.Москва;;Москва
ЮрЭкс ;jurex-vrn.ru;;74 732 922 295;"г. Воронеж, ул. Космонавтов, д. 17 ""А"", офис 516";;Воронеж  
ФК ЦЕННЫЕ БУМАГИ ;http://fktsb.ru;info@fktsb.ru;78 123 477 484;193318, Санкт-Петербург, ул. Ворошилова д. 2, лит. А;Большакова Татьяна Васильевна;Санкт-Петербург
"ЮК ""СТОПДОЛГ"" ";стопдолг.ру;;83852692165;г. Барнаул, ул. Пролетарская 135, 3 этаж, каб. 6;;Барнаул  
Юстина ;;;;;;Москва
"ООО ""ЦентрПрава"" ";pravo-samara.ru;79277473737@mail.ru;79277473737;Самара ул. Чернореченская д.21;Иванов Дмитрий Иванович;Самара  
Аварийный комиссар Правозазитник 12 ;Avarkom333777.com;;333777;г Йошкар-Ола, ул Панфилова, д 39;Лешева Лиана Юрьевна;Йошкар-Ола  
БИЗНЕС В СИБИРИ ;;bk.urist@bk.ru;89832839491;Чертыгашева 148 офис 208;Мироненко Елена Юрьевна ;Абакан
Петрова Оксана Алексеевна ;;;;;;Томск  
"ООО ""Компания Комфорт Гарант"" ";http://ooo-ip-garant.ru;krupinka777@yandex.ru;89206594448;Ярославская область, г.Рыбинск, ул.Крестовая, д.50, оф.4;Крупина Наталья СЕргеевна;Рыбинск  
ООО Корпорация труда ;www.bsconsultgroup.com;accounts@bsconsultgroup.com;500935;Волгоград ул. Канунникова 6/1 оф.104;;Волгоград 
группа компаний Сократ ;;;;;;Волгоград 
Статус ;http://status37.com;info@status37.ru;74 932 581 883;153000, Россия, Ивановская область, ул. Поэта Майорова, д. 6/7;Вохмянина Светлана Викторовна;Иваново
"ООО ""Бюро арбитражных решений"" ";;byuro_arbitr@mail.ru;"89620589120; 639120";г. Омск, ул. Булатова 99, офис 311;;Омск  
Ассоциация юристов Забайкалья ;http://zab-urist.ru/;zab_urist@mail.ru;8 924 272 12 19;Хабаровская 1, офис 2;Шильникова Елизавета Анатольевна;Чита
"Юридическая Компания ""Наше Дело"" ";http://kaliningrad.sw76.ru/;fpa_paritet@mail.ru;"89510975700; 84012401370";г. Калининград, ул. Комсомольская 88;Богдашкин Денис Викторович;Калининград  
Смоленская Юридическая Компания ;http://www.yurist-smolensk.ru;yurist-smolensk@yandex.ru;84812548844;г. Смоленск ул. Коммунистическая д. 4-Б оф. 108;;Смоленск  
"ООО ""Услуги права"" ";+79610259308   услугиправа.рф;uslugiprava76@yandex.ru;79610259308;г. Ярославль, ул. Победы, д. 29 оф. 2, этаж 3;Пономарев Игорь Александрович;Ярославль  
КОРСТОН ГРУПП ООО ;www.korston.pro;on@korston.pro;73422591010;г. Пермь, ул. Уральская 93, офис 308;Сивкова Екатерина;Пермь  
"""Алгоритм права"" ";www.algoritmp.ru;info@algoritmp.ru;2372477, +79502093089;г. Екатеринбург, ул. А. Валека, д. 13, оф. 316а;Шестов Александр Владимирович;Екатеринбург  
"ЮРИДИЧЕСКОЕ АГЕНТСТВО ""ПРАВО на ЗАЩИТУ"" ";;YRIST-475797@yandex.ru;79229330022;610002, г. Киров. ул. Ленина, д. 85, помещение 1015;Терентьев Игорь Михалович ;Киров
"Юридическая фирма ООО ""Колорит"" ";http://ok.ru/group52914936086606;koloritbarnaul@mail.ru;89130898070;г. Барнаул, ул. Карагандинская, 6А, офис 26;Егоров Максим Александрович;Барнаул  
Эгида Права ;egida-prava.ru;egida-prava@yandex.ru;79198271987;Саратов, Московская 107, офис 1;Демидов Арсений Павлович;Саратов  
Tiemond Lorne/Таймонд Лорн ;http://www.tiemondlorne.com;tiemond-lorne@yandex.ru;+7 812 984 31 33;г. Санкт-Петербург, Невский проспект, 24;Александр;Санкт-Петербург
"ООО ""ЭлКо"" ";;;;;;Москва
Mann's Solutions ;https://www.manns-solutions.ru;russianoffice@manns-solutions.com;79657675634;Невский пр. 51, офис 46;;Санкт-Петербург
Karachev Group ;karachevgroup.com;glp@karachevgroup.com;88 124 440 529;г. Санкт-Петербург, ул. Таллинская, д.5, литера А  Бизнес-центр «Таллин»;Солдатов Алексей Сергеевич;Санкт-Петербург
"ООО""МИКС"" ";;;;;;Краснодар  
МАА+ ;www.maaplus.ru;maaplus@yandex.ru;2451048;420107, г. Казань, ул. Петербургская, д. 74;Муленко Алексей Александрович;Казань
"ООО ""Бизнес Тандем"" ";http://businesstandem.ru/;bt6220891@mail.ru;88129095020;Санкт-Петербург, ул. 3-я Советская, 9а, офис 407;Болтова Евгения Владимировна;Санкт-Петербург
Estoest ;estoest@hot.ee   https://estoest.wordpress.com/;estoest@online.ee;37256619154;Vabriku 47/1-2;Konstantin Zahharov;Москва
"Юридическое агентство ""Миг"" ";ja-mig.ru;ja-mig@mail.ru;89600111888;г. Северодвинск, ул. Индустриальная, д. 39, оф. 210;Матигоров Иван Геннадьевич;Северодвинск  
Бюро правовой защиты  Alta Group ;Pavel_law   https://vk.com/altagroups;Pavel_law@mail.ru;89232728772;г. Красноярск, ул. Маерчака 8, стр.9 офис 313;Зинченко Павел Сергеевич;Красноярск  
"ООО ""РусКонсалтГрупп"" ";;;;;;Москва
Центр юридической помощи ;https://jurist-gotab.ru;info@jurist-gotab.ru;74 999 384 562;Россия, Москва;;Москва
LD ;;;;;;Тула  
Правовой центр Марины Селезневой ;;;;;;Санкт-Петербург
ООО Регион ;;;89308888053;Рязань ул. Чкалова 33 а;Шувиков Дмитрий Станиславович;Рязань  
Юридическая фирма Идея ;www.ideaspb.ru;;;;;Санкт-Петербург
"ООО ""Консул"" ";consul-lc.ru;consul-lc@yandex.ru;2295380, 89069126687;Урицкого 117 офис 403;Саушкин Дмитрий Викторович ;Красноярск  
Шахова и партнеры ;;;;;;Москва
Агентство правовой и бухгалтерской помощи ;;;;;;Ростов-на-Дону  
Атика. Юрист , бухгалтер. ;atika-grup.ru;konsultant@atika-grup.ru;73 432 372 707;Екатеринбург, Титова, дом 1, офис 7;Дубинин Сергей Викторович;Екатеринбург  
"""П Ц Р Б ""Приват"" ";;;;;;Пермь  
"ООО ЮК ""ГАРАНТ ПРАВА"" ";;garant.prava@bk.ru;79525485189;г. Воронеж ул. Рязанская 105;Сушков Андрей Евгеньевич;Воронеж  
ЮрПрофПлюс ;;;;;;Тольятти  
Сенат ;www.senatnovo.ru;senatnovo@mail.ru;89884647774;г. Новороссийск, ул. Энгельса, 7-309;Кербс Антон Викторович;Новороссийск  
"ООО ""Правовая основа бизнеса"" ";;pravov@list.ru;89023291919;г. Йошкар-Ола, ул.Вашская 8, оф.309;;Йошкар-Ола  
"Юридическое агентство ""ФАКТ"" ";;advisor18@mail.ru;566068;г. Ижевск, ул. Пушкинская, 144, офис 5;Афанасьев Дмитрий Владиславович;Ижевск  
"Юридическая фирма ""Меридиан"" ";www.meridian91.ru;;84 842 220 516;г. Калуга, пер.  Воскресенский, д. 29, оф. 8;;Калуга  
Автор Юридическая фирма ;https://avtor-law.ru;info@avtor-law.ru;79126672008;проспект Ленина, 25, Екатеринбург;Хитрин Кирилл Владимирович;Екатеринбург  
"ООО ""Город права"" ";;;;;;Барнаул  
Право.Финансы.Недвижимость ;;;;;;Москва
ООО ГеоСтандарт ;;;89021607036, 89021603715;г. Улан-Удэ, БКМ 14Б-209;Хайтбаева Айгуль Таиржановна;Улан-Удэ  
"""ЛИНГ"" ";ukling.ru;731104@mail.ru;73452588588;Тюмень, ул.Ямская, д.87а, оф.604;Шушканов Роман Александрович;Тюмень  
Проект 1 ;https://proekt1.ru;;;;Маштаков А.А.;Санкт-Петербург
ИП Малышев В.С. ;www.c-of.ru;c-of01@mail.ru;89878476975;г. Оренбург, ул. Орлова,д.40;Малышев Василий Сергеевич;Оренбург  
Болдырев и Партнеры ;www.brplaw.ru;info@brplaw.ru;89283211323;Пресненская набережная 6 стр. 2;Болдырев Руслан Иванович;Москва
Банкрот Партнёр ;;bankrot.partner@yandex.ru;79 050 570 898;МО, г. Сергиев Посад, ул. Пионерская, д.6, оф.218;Ширялина Марина Константиновна;
Центр правовой защиты должника ;https://yuridicheskie-uslugi-ufa.ru/;azatfarit@mail.ru;79 632 362 950;450006 г. Уфа, ул. Цюрупы, д.149, офис 60; Бикбулатов Азат Фаритович;Уфа
Эквилибрум, Юридический центр ;ekvilibrum_nsk    www.ekvilibrum.ru;pravo@ekvilibrum.ru;79139094277;Новосибирск,;Молостова Виолетта Евгеньевна;Новосибирск  
CПб городская коллегия адвокатов ;https://адвокат-78.рф;mm.borisov@gmail.com;88 129 262 000;г. Санкт-Петербург  м. Владимирская  Кузнечный пер., д.6;Михаил Борисов;Санкт-Петербург
"Правовое Агентство ""ЮРИСТ"" ";;;89631093034;г. Пенза, ул. Суворова, 145 А оф. 47;Кириллова Светлана Валеревна;Пенза  
ТВОЁ ПРАВО ;www.tvoepravo61.ru;tvoepravo61@mail.ru;88 632 294 041;Ростов-на-Дону, ул. 339 Стрелковой дивизии, 27 а;Черноусова Лана Александровна;Ростов-на-Дону  
Адвокатское бюро Крым ИнЮрКоллегия и Партнеры ;;alexeyprismotrov@yandex.ru;8 978 853 08 58;"Республика Крым, г. Симферополь, пр. Кирова, д. 49 ""В""";Труш Владимир Николаевич;Симферополь  
"ООО ""Проф-Альянс"" ";;profalliance.info@yandex.ru;"89275000515; 89616829802";г. Волгоград, ул. Им. Германа Титова, 20;Давыдова Марина Анатольевна;Волгоград 
"ООО ""Центр Правосудия"" ";www.centerpravosudia.ru;info@centerpravosudia.ru;"+7 861 2000142;            +7 918 9999033 Круглосуточно";350063, г. Краснодар, микрорайон Центральный, ул. Пушкина, д. 4;Восканян Армен Рафикович;Краснодар  
СТОПДОЛГ-СОЧИ ;стопдолг-сочи.рф;;78622377739;г. Сочи, ул. Московская, д. 19, офис 311;;Сочи  
"ООО ""Рекорд"" ";;;;;;Калининград  
"ООО ""Кемеровоюрсервис"" ";http://www.pravo42.su;pravocentr42@mail.ru;8 3842 353637, 89515762787;проспект Ленина 90/2;Волынский Данил Юрьевич;Кемерово  
Юристы-Эквитас ;;;;;;Москва
ООО Юрисконсалтинг ;;;;;;Курск  
Legalgates ;;;;;;Санкт-Петербург
"ЗАО ""ПРАВОВЕДЪ"" ";www.pravoved60.ru;pravoved@ru;8 115 337 363;Псковская обл., г.Великие Луки, пр.Октябрьский, д.34/9;Н.Г. Тихонова;Псков  
Юрист эксперт Ростов ;;urist_expert_rostov@mail.ru;89034331211;г.Ростов-на-Дону, ул.Социалистическая, д.65, оф.200;;Ростов-на-Дону  
РИМ-РУС Консалт ;http://консалт.рим-рус.рф/;konsalt@rim-rus.ru;4 912 521 251;390006, г. Рязань, ул. Фирсова, д. 22 к. 2 оф. 3;Данилкин Алексей Викторович;Рязань  
Коэн и Левин ;http://jurist-penza.ru/;kohen-levin@yandex.ru;8 906 3954848, 89093199264;440000, Пенза, ул. Суворова, 154, офис 48,;Трошкина Мария Владимировна;Пенза  
"Юридический центр ""ВЕСТ ПЛЮС"" ";WESTPLUS.ru;201-81-91@ mail.ru;+7 902 8327911, 2018191;614016, г. Пермь, ул. Куйбышева, д. 50А, оф. 401;Батуев Михаил Юрьевич;Пермь  
"ООО ""ОК Банкрот-Красноярск"" ";www.okbankrot.ru;krs@okbankrot.ru;83 912 046 433;660049 г.Красноярск ул.Ленина, д.35 офис 326;Данилова Лия Юрьевна;Красноярск  
Жилищный Юрист ;www.жилищный-юрист.орг;zhil-yurist@ya.ru;84832429121;г.Брянск, ул.Бежицкая, д.286, офис 108;Костомаркина Яна Викторовна;Брянск
"ооо ""юридическая фирма ""Фабий"" ";;;;;;Чебоксары  
"ООО ""Бизнес-поддержка"" ";;;;;;Барнаул  
ЮФ Правозащитник ;https://www.jurist-voronezh.com/;vrnpravo@mail.ru;74 732 224 405;улица 20-летия Октября, 119;Гасанов Э. И.;Воронеж  
"ООО ""ЮТС"" ";;lyuba.yuts@mail.ru;4812250450, 250451;пр-т Строителей, д. 6а, оф. 304;Рекун Виктор Григорьевич;Смоленск  
LawArt (Лоарт) ;Law-Art.ru;info@law-art.ru;79781753064;г. Севастополь, ул. Одесская 27Б;Руденков Алексей Леонидович;Севастополь  
Гарант ;http://алкогольный-лицензор.рф/;pavlov@nw4.ru;89261488203;Мясницкая 14;Реунов Илья;Москва
"ООО ""ВАШ ЮРИСТ"" ";;musatova_mv@mail.ru;+79038881188, 4932 325911;Иваново, 10 Августа, д.37А, 2 этаж;Мусатова Марина Вячеславовна;Иваново
ЮРСО ;http://юрсо.рф;info@юрсо.рф;73 432 203 949;г. Екатеринбург, ул. Луначарского, д. 185, офис. 405;Черноуцан Андрей Валентинович;Екатеринбург  
Аристократ ;aristokrat-nsk.ru;aristokrat-nsk@mail.ru;;;Усков Антон Сергеевич;Новосибирск  
Адвокат Нижний Новгород ;;;;;;Нижний Новгород  
За права военнослужащих ;;za_voennyh@mail.ru;355015, 89144789829;г. Чита, ул. Ленина 104-16;Горелов Владимир Ильич;Чита
"""ГПК ""РЕПУТАЦИЯ"" ";http://glc-reputation.ru/;pravo-3616198@yandex.ru;73 433 616 198;"г. Екатеринбург, ул. Волгоградская, д. 222, 1 этаж, ""Торговый дом ТЕМП""";Лоскутов Виталий Сергеевич;Екатеринбург  
"ЮРЦ ""Мой город"" ";http://pravo-l.ru;moigorod48@mail.ru;89005940114, 717791;г. Липецк, ул. Советская д.4, офис 535;Воронцов Александр Владимирович;Липецк  
"ООО ""ЛЕГИСТ"" ";;;;;Екатерина Валерьевна;Нижний Тагил  
ПАРИТЕТ - Юридическое агентство ;http://fpa-paritet.ru/;Fpa_paritet@mail.ru;1,013882626;г. Ульяновск, пр. Ленинского Комсомола 41, офис 422;Богдашкин Денис Викторович;Ульяновск  
Юридическая фирма Amigdala ;https://amigdala.pro;info@amigdala.pro;74993502140;119019, г. Москва, ул. Арбат, д. 54/2, строение 1;Мелдир Ербулекова;Москва
"ООО ""Спейнмед"" ";www.spainmed.ru.com;rusia@spainmed.ru.com;79851833347;119002, город Москва, переулок Николопесковский Б., дом 13, помещение III комната 2;Хорхе Альварес;Москва
"Юр компания ""Советник 52"" ";434754763   www.sovetnik52.ru;4100566@gmail.com;78 314 100 566;г. Нижний Новгород, ул. Воровского, д.24;Костушевич Ольга Петровна;Нижний Новгород  
Земельный Партнер ;zempart.ru;;;;;Москва
"OOO ""ОНИС"" ";www.onis-ltd.ru;;;;;Тюмень  
"ООО ""Сити-Медиа"" ";;;;;;Москва
" Юридическая фирма ""Алиби"" ";www.alibi64.ru;alibititov@mail.ru;89033288320;г. Саратов, ул. им. Чернышевского Н.Г., д. 92;Титов Дмитрий Александрович;Саратов  
Народные юристы ;;;;;;Чебоксары  
ФинАстион ;Finastion.ru;Finastion@mail.ru;79614930716;Ставрополь Ул Пушкина 9 офис 312;;Ставрополь  
ПЕРВОЕ АДВОКАТСКОЕ БЮРО ;samfomich   http://samara-advokat.ru;ab001@paso.ru;1,57486E+11;443001,  Самара, Пушкина,  229, оф. 301;Фомичева Ольга Владимировна;Самара  
"ООО ""Центральный Округ"" ";https://centraldep.ru/;INFO@CENTRALDEP.RU;74 732 030 161;394036, Г. ВОРОНЕЖ, ПЕР. ДЕТСКИЙ, Д. 24, ОФ.44;Невзорова Ольга Николаевна;Воронеж  
"ООО ""РЕГПАЛАТА"" ";regpalata58.ru;regpalata@inbox.ru;8 412 242 124;440056, г.Пенза, ул.Ростовская, 46А;Планин А.Г.;Пенза  
"ООО ""Победа"" ";юрист-164.РФ;ooovictory2017@mail.ru;79050321762;г.Саратов, ул.Некрасова д.19;Мухаметвалиева Алина Игоревна;Саратов  
"Адв. контора""Пелевин и партнеры"" ";http://www.ak-pelevin.ru/;pelevin.1970@mail.ru;89 219 156 000;191187, Санкт-Петербург, улица Гагаринская, дом 6 А, офис 7;Пелевин Андрей Леонидович;Санкт-Петербург
юридическая медицинская консультация ;ЮМК ЮМК   http://umk-nn.ru/;df.nn.vvk@gmil.com;+79200045803, 88312159048;г. Нижний Новгород, ул. Белинского, д.38, оф.1;Филатов Эдуард Владимирович;Нижний Новгород  
ЮР АЛЬФА ;http://yuralfa.ru/;yuralfa77@gmail.com;79 507 506 833;Нижний Сусальный переулок 5, стр.17;;Москва
Сибирская юридическая компания ;www.umnoepravo.ru;info@umnoepravo.ru;3 812 394 040;Куйбышева, 43, офис 203;Дмитрий Владимирович;Омск  
Эвольвента ;;;;;;Иркутск  
"Правовой центр ""Открытие"" ";;pc.otkritie@gmail.com;89225327585;460006, г. Оренбург, ул. Цвиллинга, д. 46, 2 эт. оф. 7;Шило Елена Александровна;Оренбург  
Germiona.com ;www.germiona.com;germionacom@yandex.ru;84953802500;Большая почтовая 36, стр 6, подъезд 4, офис 201;Акенина Юлия Сергеевна;Москва
Гардарика ;;;;;;Краснодар  
"ЮРИДИЧЕСКОЕ АГЕНТСТВО ""МАКСИМА"" ";maxima33-vladimir   http://maxima33.ru/;maxima33@bk.ru;74 922 531 111;г. Владимир, ул.Никольская, д.6, оф. 22;Дьячков Максим Владимирович;Владимир  
Атлант ;https://xn--59-vlc5agg4f.xn--p1ai/;pravoproject@mail.ru;79 097 281 731;г. Пермь, ул. Крылова, 4, офис 408;Андрей Игоревич;Пермь  
"ЮК ""ПРОЦЕСС ПЛЮС"" ";http://russia-zakon.ru;katerina@russia-zakon.ru;8 978 756 87 20;г. Симферополь, ул. Русская, 103а;Высоцкая Екатерина Михайловна;Симферополь  
гарант права ;;;;;;Кемерово  
Residence Consulting ;http://residence.consulting;;;;Смирнов Алексей;Москва
"ООО ""АнтарСервис"" ";;;;;Янбеков Ринат ВАлитович;Уфа
Васильева Мария Всеволодовна ;;;;;;Москва
"ООО ""Пронайм"" ";;pronaim@bk.ru;89185901112;г. Ростов-на-Дону, пер. Гвардейский, 78/92;;Ростов-на-Дону  
"ЮК ""СТАРВИКА"" ";v.n.starovoytov   710337   www.juristpiter.ru;info@juristpiter.ru;88126027672;"190000, Санкт-Петербург, БЦ ""Лидваль"", Большая морская 3-5 литера А, офис 519";Старовойтов Виктор Николаевич;Санкт-Петербург
"ООО ""Консалтинг Центр"" ";www.belconsalt.ru;belconsalt@mail.ru;89803230005;г.Белгород, ул.Некрасова, 6а;Савотина Татьяна Николаевна;Барнаул  
"ЮК""Аргумент"" ";;;;;;Липецк  
ОЗПА ;tatyana.pankova42   http://www.ozpa-nk.ru/;ozpa-nk@mail.ru;;ул. Металлургов д.54;;Новокузнецк  
Закон И Право ;;;;;;Подольск  
"ООО ЦПП ""Сибирский Консультант"" ";;;;;;Новосибирск  
Закон и Порядок ;https://zakonsochi.ru/;;;;Семенова Вера Олеговна;Сочи  
Премьер  Групп ;+79633419404   premier-law.ru;tarasova.larisa@mail.ru;+7963341 94 04;г. Санкт-Петербург, ул. Стремянная, 10, офис   29;Тарасова Лариса Григорьевна;Санкт-Петербург
"ООО ЮА ""Защита и Право"" ";2147483647   https://elmurzaev.ru/;zashhitaipravo@mail.ru;79380759607;Проспект Кулиева, д. 9;Абаюкова Светлана Сергеевна ;Нальчик  
ДИАЛОГ ;www.rosdialog.ru;info@rosdialog.ru;8432583112;город Казань;Гараева Ф.А.;Казань
Архив-нн ;www.archive-nn.ru;4130372@mail.ru;8314130372;г. Н.Новгород, ул. Костина, 3-227;;Нижний Новгород  
ВАШЕ ПРАВО ;www.vashe.su;2376393@bk.ru;89252376393, 84965777956;МО, г. Электросталь, пр-т Ленина, д. 25, офис 302 (вход со двора);Труханова Валерия Викторовна;Электросталь  
"Юридическая фирма ""РОСЛЕКС"" ";ww.roslex.ru;info@roslex.ru;78124570650;Санкт-Петербург, Спасский пер.,14/35, оф.513;Доронин Александр Александрович;Санкт-Петербург
Нотариус Синявская Г.А. ;нотариусбалашиха.рф;9259995444@mail.ru;79259995444;Балашиха, улица Калинина, дом 17/10к2;Синявская Галина Александровна;Балашиха  
Юридическая Компания Спектр ;http://www.spektr-ohud.ru/;"spektrohud@mail.ru ; vyatovivan@yandex.ru ;";"+78123166449; +78129852426;";г.Санкт-Петербург, ул. 1-я Красноармейская д.2/23;Абдурахманова Сурая Гасан кызы;Санкт-Петербург
"ЮС ""ТЫПРАВ"" ";тыправ.рф;info@924411.ru;73 952 924 411;664003, г. Иркутск, ул. Коммунаров, 1а;Арзаев Юрий Викторович;Иркутск  
Legal Group ;http://legalgroup.pro/;info@legalgroup.pro;+7 831 413 52 15;Россия, Нижний Новгород, Большая Покровская, 7;Стариков Михаил Евгеньевич;Нижний Новгород  
ГАРАНТ – юридическая помощь при ДТП ;124garant.ru;garantyu@yandex.ru;79833622988;Красноярск, ул.2-я Брянская, д. 59/6, оф.103;Арефьев Валерий Витальевич;Красноярск  
"ООО ЮФ ""Ваше право"" ";;Ufpravo@ya.ru;89128973993;454092, г. Челябинск, ул. Обская, 2-33;Веретенникова Оксана Ивановна;Челябинск  
"ООО ""ПРАВОВОЕ СОДЕЙСТВИЕ"" ";;pravo-001@rambler.ru;601306, 623976;г. Барнаул, пр. Строителей, 43А, офис № 6;Корнилюк Татьяна Александровна;Барнаул  
"АНО  ""ЦЕНТР СУДЕБНОЙ ЗАЩИТЫ РЕГИОН"" ";http://www.yuristregion.ru;;;;ТЕРЕНТЬЕВ ВАДИМ НИКОЛАЕВИЧ;Воронеж  
Real Property Lawyer ;http://www.rplawyer.ru;info@rplawyer.ru;74 996 538 783;115193, г. Москва, ул. Петра Романова 14, стр. 1;;Москва
Агенство недвижимости МАГНИТ ;www.magnit.blizko.ru;;89179995777;г. Саранск, ул. Васенко, д. 9;Кузоятов М.Г.;Саранск  
ОБЭБ ;http://obebspb.ru;pr-otd-obeb@mail.ru;8124929430;Санкт-Петербург;Крылов Сергей Аркадьевич;Санкт-Петербург
Право и Бизнес ;;;;;;Уссурийск  
"Юр. фирма ""Юдинцев и партнеры"" ";iskovoe72.ru;y-partners@mail.ru;"499717; 614717";50 лет Октября 217а;Юдинцев Сергей Витальевич;Тюмень  
Международная Ассоциация Юристов на Знаменке ;WWW.М-А-Ю.рф;majmoscow@mail.ru;88007077950;г. Москва, ул. Знаменка дом 13/1;Диана Юрьевна;Москва
"АБ ""Саетгалиева, Лашин и партнеры"" ";klpartners.ru;info@klpartners.ru;79655499704;г. Екатеринбург. Красноармейская, д. 10, офис 11/11;"Адвокатское Бюро ""Саетгалиева Лашин партнеры""";Екатеринбург  
ООО «Делу-время» ;http://делу-время.рф;delovoevremia@gmail.com;73 832 078 166;Красный проспект, д. 17, оф 812;;Новосибирск  
"ООО""Новомосковская бухгалтерская компания"" ";;;;;;Новомосковск  
ЦОН -Центр Обслуживания Населения ;;tson22@bk.ru;79132100317;г.Барнаул, пр.Социалистический, 109, офис 418Б;;Барнаул  
"ООО ""АльфаЮр"" ";;967455@mail.ru;89643516770;г. Иркутск, ул. Трилиссера, д. 38 А;Бельдуева Анна Владимировна;Иркутск  
"ООО ""СИЛА ЗАКОНА"" ";powerlaw55.ru;powerlaw55@mail.ru;89236939621;Степанца,6/1, 3 этаж;Ларкина Евгения Александровна;Омск  
"ЮФ ""Кодекс"" ";;;;;;Иваново
Квадрат Курилина ;https://kvadratkurilina.ru/;help@kurilin.ru;78 005 057 405;Челябинск, ул. Карла Маркса, 46, офис 305;Курилин Вячеслав Валерьевич;Челябинск  
Бизнес-Ассистент ;http://bis-as.energy-bm.ru/;b.assistent@yandex.ru;2627812;ул.Сони Морозовой,д.180,оф.216;;Екатеринбург  
ООО Компания Оценки и Права ;;;89308185565;ул.Короленко, 27;;Нижний Новгород  
"ООО ""Экспертиза и Оценка"" ";;ekspertiza-ocenka@mail.ru;88422272919;Островского, д.20;;Ульяновск  
КОРСА ;;;;;;Иркутск  
"ООО ИКЦ ""Альт-Инвест"" ";;1alt.invest@gmail.com;2440624, 89094559165;г.Краснодар, ул. Бабушкина 248;Кузина Елена Федоровна;Краснодар  
Олег ;;;;;;Казань
"ООО ""Астрея"" ";245222.ru;245222@mail.ru;245222;г. Хабаровск, ул. Шеронова, 68;Чучумаева Ольга Владимировна;Хабаровск  
ООО ЮК ФИНАНСЫ И ПРАВО ;https://finpravo26.ru/;financeandpravo@yandex.ru;88652239703, 89614998299;город Ставрополь, площадь Ленина, 3;Суравцова Дарья Васильевна;Ставрополь  
