Название;КПП;Сайт;Категория;ИНН;Почта;Адрес;Телефон;ОГРН
Эколайн, ООО;773101001;;Целлюлозно-бумажные комбинаты;5032266820;yuliya.d@pure-pure.ru;Московская обл., г. Москва, ул. Горбунова, д. 2, стр. 3;88007075564;1135030000000
"КомпанияКрона"", ООО";346001001;krona34.ru ;Питомники;3403030116;krona34@bk.ru;Волгоградская обл., г. Волгоград, ул. Тимирязява, д. 9А, офис 406;79627600955;1123460000000
Бзпп, АО;570401001;aobzpp.ru/ ;Заводы радиоаппаратуры;5704003487;oaobzpp@list.ru;Болхов, ул. Карла Маркса, 17;+7 (48640)2-32-94 ;1025700000000
Деева Елена Викторовна, ИП;;www.baddi.ru ;Мебельные фабрики;7,45E+11;sale@baddi.ru;Ленинградская область, Санкт-Петербург, Гражданский, 88;+7 (921)891-03-01 ;321746000000000
Завод ЖБИ-2, ООО;602501001;gbi-2.ru ;Заводы ЖБИ;6025027767;pskovgbi-2@yandex.ru;Великие Луки, ул. Первомайская, 18; (81153)3-02-64, 5-88-55 ;1066030000000
Макаричева Наталья Юрьевна, ИП;;www.shapkaopt.ru ;Швейные фабрики;5,05E+11;zakaz@shapkaopt.ru;Московская область, Ивантеевка, Фабричный проезд, д. 1;+7 (800)5000-315 ;313501000000000
ДИА - Мебель, ООО;391501001;;Мебельные фабрики;3915008240;meb4u@list.ru;Калининградская область, Багратионовск, Калининградская, д. 68; (495)255-16-16 ;1023900000000
Wortex-Print Санкт-Петербург;;wortex-print.ru ;Заводы полимерных материалов и изделий;;info@wortex-print.ru;Ленинградская область, Санкт-Петербург, Петергофское шоссе, д. 75;+7 (812)409-96-76 ;
ООО «Завод Промышленного Машиностроения»;782001001;prommashzavod.ru ;Заводы металлоконструкций;7817333497;info@prommashzavod.ru;143903, Московская область, г. Балашиха, ул. Белякова 1Б;74953749022;1147850000000
Добрый Мастер, ООО;504001001;d-mas.ru ;Мебельные фабрики;5040053625;d-master2@yandex.ru;Московская область, д. Жирово, д. 164;7903421;1025010000000
"ООО ""СТК""";165101001;www.stk16.ru ;Заводы металлоконструкций;1651079404;stk@stk16.ru;Нижнекамск, с.Большое Афанасово, ул.Магистральная, д.1/13;88555404511, 89046666580 ;1171690000000
Беркут-Марин, ООО;781101001;kater-berkut.ru ;Судостроительные заводы;7811522508;kater-berkut-spb@yandex.ru;Санкт-Петербург, Рыбацкий пр., д. 10;;1127850000000
Аллахвердян Борис Георгиевич, ИП;;mf-elena.com/ ;Мебельные фабрики;6,17E+11;sales@mf-elena.com;Московская область, Москва;+8 (800)511-77-03 ;304617000000000
"НЦ ""Энас"", ООО";772501001;www.enas.ru ;Целлюлозно-бумажные комбинаты;7724029173;sekr@enas.ru;Московская область, Москва, Дербеневская Набережная, дом 11;+7 (495)913-66-30 ;1027700000000
Нижтент, ООО;526101001;www.nizhtent.ru ;Машиностроительные заводы;5261091080;info@nizhtent.ru;Нижегородская область, Нижний Новгород, ул. Кащенко, д. 6;78312600700;1145260000000
ИП Кулешова Е.А;;flexpilates.ru ;Другие производители;7,71E+11;mail@flexpilates.ru;Москва, пос.Московский, ул. Хабарова, д.9.;+7 925 121 27 25 ;317775000000000
Простые Правила, ООО;775101001;prostyepravila.ru ;Фабрики игрушек;9729270611;info@prostyepravila.ru;Москва, Киевское шоссе 23 км, д.6 кв.1;;1187750000000
АО Стойленский горно-обогатительный комбинат;;sgok.nlmk.com ;Обогатительные комбинаты (ГОК);3128011788;info.sgok@nlmk.com;Старый Оскол(Белгородская область);+7 (4725)41-65-62 ;1023100000000
Тривикрама, ООО;541001001;;Заводы полимерных материалов и изделий;5410778650;info@mochalka-milo.ru;Новосибирская область, Новосибирск, ул. Дунаевского, д. 16, оф. 21;8 (923)777-20-40, 8 (983)323-14-68 ;1135480000000
Тексоник, ООО;503801001;texonic.ru ;Заводы полимерных материалов и изделий;7705991466;info@texonic.ru;Московская область, с. Софрино;+7 (495)255-22-32 ;1127750000000
ARGO Сланцы;;tpgargo.ru ;Химические заводы;;info@tpgargo.ru;Ленинградская обл, г. Сланцы, Сланцевское шоссе, 7А;8-800-500-80-15 ;
БСЗ, АО;591101001;www.bsz.ru ;Производители бакалеи;5911013780;mail@bsz.ru;Березники, ул. Новосодовая, 19;+7 (3424)28-41-01 ;1025900000000
Спецобувь.РУ, ООО;772101001;c-obuv.ru ;Обувные фабрики;7721701407;obuv@c-obuv.ru;Московская обл., г. Люберцы, 1-й Панковский пр-д, д. 1;79257710991;1107750000000
"ЛМЗ ""Арсенал"", ООО";183201001;www.arsenal-zavod.ru ;Литейные заводы;1832144077;info@arsenal-zavod.ru;Удмуртская Республика, Можга, Сюгаильский проезд, 15;+7 (341)257-09-80 ;1171830000000
"ООО ""КИТ""";;info929964.wixsite.com/kit-52 ;Производители галантерейных изделий;5259020300;info@kit-52.rueduard152@yandex.ru;г. Нижний Новгород, ул. Героя Рябцева, 35, офис-418а;79159353535;1025200000000
Ставропольский Бройлер, ООО;262301001;www.gapresurs.ru/ ;Птицефабрики;2623030222;hotline@gap-rs.ru;Михайловск, ул. Бройлерная зона №1;+7 (800)700-90-39 ;1192650000000
РМК, АО;667101001;rmk-group.ru/ru/activities/enterprises/aleksandrinsk/ ;Добыча цветных металлов;6670061296;info@rcc-group.ru;Челябинская область, п. Нагайбакский, ул. Центральная, д. 5;+7 (3519)49-67-10 ;1046600000000
Агропромкомплектация, ООО;773501001;www.apkholding.ru/ ;Агрофирмы;7735004043;info@apkholding.ru;Москва, Зеленоград, Яблоневая аллея, д. 313 Б;+7 (499)951-34-27 ;1027700000000
ООО «РСК ГРУПП»;166001001;рскгрупп.рф/ ;Светотехнические заводы;1657223686;info@rsc-groupp.ru;г. Казань, ул. Белинского, 21Бк4;+7 960 071 07 98 ;1161690000000
Селюков Николай Иванович, ИП;;;Машиностроительные заводы;3,12E+11;sn191267@mail.ru;Белгородская область, Белгород;8-909-209-6254 ;316312000000000
Альтернатива +, ООО;781701001;alt-karton.ru/ ;Целлюлозно-бумажные комбинаты;7817311415;info@alt-karton.ru;196651, г. Санкт-Петербург, г. Колпино, Ижорский завод, д. б/н, литер БЭ;+7 (999)237-26-79 ;1077850000000
Я Расту Тойз, ООО;500901001;yarastu-toys.ru/ ;Фабрики игрушек;5009095045;goremykina.n@yarastu-toys.ru;Домодедово, мкр.Северный, Каширское шоссе, д. 4, стр. 1;+7 (499)702-50-04 ;1145010000000
"НПО ""Стример"", АО";784201001;www.streamer.ru/ ;Электромеханические заводы;7805078620;info@streamer.ru;Санкт-Петербург, Невский пр., д. 147;+7 (812)3270808 ;1037810000000
Камелия-ЛТ, ООО;502701001;kamelia-lt.ru ;Производители бакалеи;5837032913;kamelia-lt@mail.ru;Пензенская обл., г. Пенза, ул. Бийская, д. 3Б;+7 (499)490-10-58 ;1075840000000
"ООО ""Косметические решения""";;cosmetic-solutions.ru ;Другие производители;7720341952;zakaz@cosmetic-solutions.ru;111524, Москва, ул. Электродная, 9Б;+7 (495)357-15-95 ;1167750000000
"ТП ""Эдельвейс"", ООО";550401001;www.kvinto55.ru ;Трикотажные фабрики;5503201922;kvinto-01@mail.ru;Омская область, Омск, ул. Фурманова, 7;+7 (3812)38-78-37 ;1075540000000
Пластрум, ООО;590501001;plastrum.ru ;Фабрики игрушек;5905257153;info@plastrum.ru;Пермский край, Пермь, ул. Энергетиков, 44;+7 (342)228-88-77 ;1075910000000
Коллекция, ООО;370201001;nc-brand.ru ;Швейные фабрики;3702217779;sale@nc-brand.ru;Иваново, ул. Спартака, 22;+7 (960)510-3050 ;1193700000000
LIMONI Москва;;www.limoni-hit.ru ;Швейные фабрики;;limoni-ofis@mail.ru;107207, Московская область, Москва, ул. Уральская, дом 6, корп. 1, офис 14;;
КБХА, АО;366501001;www.kbkha.ru/ ;Моторные заводы;3665046177;info_kb@kbkha.ru;Воронежская область, Воронеж, ул. Ворошилова, 20;+7 (473)234-64-06 ;1043600000000
КАМАЗ Вейчай, ООО;761101001;kamaz-weichai.ru/ ;Автомобильные заводы;7611026936;info@kamaz-weichai.ru;Россия, Ярославская область, г. Тутаев, ул. Строителей, 1;+7 (4852)20-51-88 ;1197630000000
ЗКО, ООО;26901001;rossen.ru/ ;Котельные заводы;269035680;sales1@rossen.ru;Республика Башкортостан, Туймазы, ул. Заводская, 18А; (8453)54-44-71 ;1150280000000
Пан Ткань с. Писцово;;pantkan.webflow.io/#section-1 ;Трикотажные фабрики;;pantkan1@gmail.com;Ивановская область, с. Писцово, ул. Социалистическая, д. 1;;
Гор, ООО;770501001;dveri.com ;Стекольные заводы;9705122389;info@169.ru;Московская обл., г. Москва, ул. Динамовская, д. 1А;+7 (495)317-17-01 ;1187750000000
Озри, ООО;531101001;ozri-novgorod.ru ;Заводы радиоаппаратуры;5311004720;ozrizavod@mail.ru;Окуловка, ул. Н.Николаева, 57;+7 (81657)22768 ;1025300000000
ООО МСМ ;;rnp74.ru ;Машиностроительные заводы;7453343841;pst2235973@yandex.ru;Ул. Худякова, 10;79123105111;1217400000000
Амбер Форест, ООО;594801001;amberforest.ru ;Деревообрабатывающие комбинаты;5948063402;amber_forest@mail.ru;Россия, 614506, Пермский край, Пермский р-н, д. Кондратово;73422470004;1215900000000
Озно, ООО;741301001;;Машиностроительные заводы;7422021315;ozno@list.ru;Озерск, ш. Озерское, 44; (35130)3-55-21, 3-55-76, 2-42-24 ;1027400000000
ЗРМ Новохоперский, ООО;361701001;www.zrm.su ;Масложировые комбинаты;3617008647;mail@zrm.su;Новохоперск, ул. Тимирязева, 2;+7 (473)5333357 ;1163670000000
"ПК ""СУС"", ООО";772401001;www.sus.ru ;Производители бакалеи;7724877504;info@sus.ru;Московская область, п. Развилка;7495902;1137750000000
"НМЗ ""Искра"", АО";541001001;;Механические заводы;5410039642;iskra@nmz-iskra.ru;Новосибирская область, Новосибирск, ул. Чекалина, 8;;1115480000000
Промтех, ООО;525601001;promteh-nn.ru/ ;Автомобильные заводы;5260250347;info.com@promteh-nn.ru;603065, Нижегородская обл., г. Нижний Новгород, ул. Переходникова, д. 1 Д;88005000765;1095260000000
Ижтз, ООО;184001001;www.izhtz.ru ;Трубные заводы;1831178186;info@izhtz.ru;Удмуртская Республика, Ижевск, ул. Воткинское шоссе, 298;+7 (3412)333-006 ;1161830000000
Дискард, ООО;744801001;www.diskard.ru ;Целлюлозно-бумажные комбинаты;7447190435;diskard1@mail.ru;Челябинская обл., г. Челябинск, ул. Сормовская, д. 32, офис 202;+7 (351)260-96-54 ;1117450000000
ПК Кранмонтаж, ООО;330101001;kranmontag.ru/?utm_source=fabricators.ru ;Заводы грузоподъемных механизмов;3311021087;zakaz@kranmontag.ru;Владимирская область, г. Александров, Двориковское шоссе, д. 60;+7 495 646-86-21 ;1113340000000
ГРПЗ, АО;623401001;www.grpz.ru ;Приборостроительные заводы;6234098539;root@kaspz.ru;Рязанская область, Рязань, ул. Семинарская, д. 32;+7 (49131)248-73 ;1116230000000
Мартин РУС, ООО;771501001;laser-liner.ru/ ;Инструментальные заводы;9715003454;info@laser-liner.ru;123022, г. Москва, ул. 2-ая Звенигородская, д. 13, стр. 41;+7 (495)587 04 47 ;5147750000000
"ССЗ ""Лотос"", АО";302301001;www.cnrg.ru/construction/lotus/ ;Судостроительные заводы;3008003802;;Нариманов, ул. Береговая, 3; (85171)6-11-72 ;1023000000000
Дело Техники, ООО;500301001;www.delot.ru ;Инструментальные заводы;7734246226;info@delot.ru;Московская обл., г. Москва, ул. Кулакова, д. 20;+7 (495)181-61-31 ;1037740000000
Экопрод, ООО;581201001;www.eko-prod.info ;Мясоперерабатывающие заводы;5812006252;ekoprodbaza@yandex.ru;Пензенская область, с. Средняя Елюзань, ул. Трудовая, 1а;+7 (84158)37-117 ;1055800000000
"Завод ""Кризо"", АО";470501001;www.krizo.org ;Машиностроительные заводы;4705006552;krizo@mail.ru;Гатчина, ул. Железнодорожная, 43;+7 (81371)93887 ;1024700000000
ООО «Механический завод «Энерпром»;;www.enerprom-spb.com ;Механические заводы;7810302468;marketing@enerprom-spb.com; 17-я линия Васильевского острова, 54, корп. 7, Санкт-Петербург, Россия;78003024704;1147850000000
Ассамблея-НН, ООО;526001001;assamblea-nn.ru/ ;Мебельные фабрики;5260306367;assamblea-nn@yandex.ru;Нижегородская область, Нижний Новгород, ул. Народная, 1а;+7 (951)904-33-73 ;1115260000000
Бахметьевский Завод, ООО;582601001;bahmetartel.ru/ ;Стекольные заводы;5826901706;bahmetzavod@yandex.ru;Пензенская область, г. Никольск, ул. Комсомольская, д. 24;+7 (951)299-80-18 ;1125830000000
Победа Алексин;;tula-tkz.ru ;Кирпичные заводы;;info@tula-tkz.ru;Тульская область, г. Алексин, Матросова, 3;+8 (4872)75-10-19 ;
Кубера, ООО;772401001;;Заводы металлоконструкций;7724823675;info@treekix.com;Ленинградская обл., г. Санкт-Петербург, ул. Якорная, д. 16;8 (800)333-03-06 ;1127750000000
Кордав, ООО;346101001;www.kordav.ru ;Мебельные фабрики;3461062188;info@kordavru.com;Волгоградская область, Волгоград, ул. Кирова, д. 121А, офис 311;79883947984;1173440000000
"Лакокрасочный Завод ""Оливеста"", ООО";771501001;;Лакокрасочные заводы;7715370179;info@olivesta.ru;Москва, Анненский проезд, 1; (495)618-61-80,(495)618-61-80 (коммерческий отдел),(495)619-03-53 (отдел кадров);1037720000000
Свой САД, ООО;246601001;www.svoy-sad.com ;Консервные заводы;2466276914;tpksvoy-sad@mail.ru;Красноярский край, Красноярск, Северное шоссе, 31г;+7 (902)923-81-81 ;1142470000000
Бетонити, ООО;745601001;betoniti.ru ;Другие производители;7444059369;love@betoniti.ru;Челябинская область, г. Магнитогорск, Северный переход, 16;89227590775;1087440000000
Ольга, ООО;550301001;;Швейные фабрики;5503226780;stelmakh2015@bk.ru;Омская область, Омск, ул. 22 Партсъезда, д. 97;8-913-650-07-18 ;1115540000000
Геотуб Екатеринбург;;geotub.ru/ ;Заводы строительных материалов;;INFO@GEONOR.RU;Екатеринбург, ул. Луначарского 212;88003339320;
РККЗ, АО (Касса предприятия (ККЗ));761001001;aorkkz.ru/ ;Комбикормовые заводы;7610002876;rybinsk_kkz@mail.ru;Рыбинск, ул. Ошурковская, 2; (4855)22-93-07,(4855)22-94-93 (факс);1027600000000
Киселёв Павел Андреевич, ИП;;ufa.voda-sestrica.ru ;Производители безалкогольных напитков;1,21E+11;online@vodaufa.ru;Республика Башкортостан, с. Нижегородка, ул. Кузнецовская поляна, стр.19;7347243;321122000000000
Чечина Наталья Александровна, ИП;;expressiya-shop.ru ;Швейные фабрики;2,30E+11;exspressiya-shop@yandex.ru;Армавир, ул. Розы Люксембург, 215;+7 (928)417-36-20 ;304230000000000
Аква-Мастер, ООО;27301001;;Заводы РТИ;273090596;sale@master-lodok.ru;Республика Башкортостан, Уфа, ул. Индустриальное Шоссе, д. 114; (347)246-13-33 ;1130280000000
Soni Kids Москва;;;Швейные фабрики;;sonikidsmsk@yandex.ru;Московская область, Москва, Озерная, д. 42;84954191705;
"Ново-Вятка, АО (Механический завод ""Ново-Вятка"")";434501001;;Механические заводы;4345029946;nmz@nmz.kirov.ru;Кировская область, Киров, Нововятский р-н, ул. Советская 51/2;;1034320000000
Эмкор-96, ООО;644901001;emkor96.ru ;Мебельные фабрики;6449967450;emkor-zakaz@mail.ru;Энгельс, ул. пр-кт Строителей, 39Б;78006001566;1036400000000
"Завод ""Фиолент"", АО";910201001;zdphiolent.ru/? ;Электромеханические заводы;9102048745;info@zdphiolent.ru;Симферополь, ул. Киевская, 34/2;+7 (3652)27-60-57 ;1149100000000
Дары Природы, СППК;213001001;dp21.ru ;Консервные заводы;2119901905;info@dp21.ru;Чувашская респ., г. Чебоксары, пр-т Мира, д. 90, корпус 1;+7 (902)287-77-33 ;1072140000000
"Сталелитейная Компания ""Памир"", ООО";732801001;pamir-sk.ru/ ;Заводы черных металлов;7328073108;pamir@sk-pamir.ru;10-й проезд Инженерный, д. 12;88005502661;1137330000000
Элара, ООО;254001001;www.elara-world.com/ ;Парфюмерно-косметические заводы;2540193953;elara-world@mail.ru;Приморский кр., г. Владивосток, ул. Анисимова, д. 9, кв. 5;8 (423)274-06-33 ;1132540000000
Алтайский Вернисаж, ООО;222401001;altvern.ru/ ;Швейные фабрики;2224081627;altvern@mail.ru;Алтайский край, Барнаул, пр-т Ленина, д. 154 а, 2 к., оф. 205;+7 (3852)50-41-43 ;1032200000000
Азбукварик Москва;;www.azbookvarik.ru ;Фабрики игрушек;;info@azbookvarik.ru;Московская обл., г. Москва, Мамоновский переулок, д. 4, стр. 1;+7 (495)984-80-01 ;
ДОН Термо, ООО;616501001;don-termo.ru ;Заводы полимерных материалов и изделий;6165559151;don-termo@mail.ru;Ростовская область, Ростов-на-Дону, ул. Вавилова, 84/2, Литер Б;7863179;1146200000000
"БКП ""Галатея"", АО";500201001;www.dazgal.ru ;Производители галантерейных изделий;5002000164;dazgal@yandex.ru;Бронницы, ул. Каширский пер., 40;+7 (496)466-54-66 ;1025010000000
Акимов Анатолий Валентинович, ИП;;akimovip.ru ;Заводы сельхозтехники;2,13E+11;akimov_ko@mail.ru;428903, Чувашская Республика, Чебоксарский р-н, д. Сятракасы, ул. Придорожная, д. 3a;88002502540;304213000000000
МК ДиК Москва;;;Заводы металлоконструкций;;info@mkdik.ru;Московская область, Москва;;
Домашний Стиль, ООО;771501001;domashniy-textil.ru ;Текстильные фабрики;5038109775;info@domashniy-textil.ru;Москва, Сигнальный проезд, д. 16;7495533;1145040000000
Вега, ООО;166001001;svetnano.ru ;Светотехнические заводы;1660189160;svetnano@mail.ru;Татарстан респ., г. Казань, ул. Родины, д. 7;89872960037;1131690000000
Арамильский Завод Листовых Полимеров;;azlp.ru ;Заводы полимерных материалов и изделий;;azlp@inbox.ru;Арамиль, пер. Речной, 3;+7 (343)385-32-30 ;
ООО Станкоопора;;stankoopora.ru ;Машиностроительные заводы;3661180005;zakaz@stankoopora.ru;394011, Воронежская область, г Воронеж, Сосновая ул, д. 23б;79 042 102 328;1223600000000
Гидроком-ТК, ООО;470601001;www.hydrocom-spb.ru ;Машиностроительные заводы;7811385153;info@hydrocom.spb.ru;Ленинградская обл., г. Санкт-Петербург, Октябрьская наб., д. 74, корпус 2;7812228;1077850000000
АГК Экология, ООО;504201001;www.agk-eco.ru ;Заводы полимерных материалов и изделий;7743558856;info@agk-eco.ru;Московская область, Москва, ул. Большая Черкизовская, д. 24А, с. 10, офис 805;+7 (800)550-95-24 ;1057750000000
Рыбин Евгений Викторович, ИП;;bf-tula.ru ;Мебельные фабрики;7,10E+11;bf-tula.optom@yandex.ru;Тульская область, Тула, ул. Рязанская, 22;+7 (926)185-66-42 ;304710000000000
Аутфорс Инжиниринг, ООО;771801001;www.skmh.ru ;Заводы полимерных материалов и изделий;7718309849;office@skmh.ru;Московская область, Москва, ул. Б. Черкизовская, д. 20, офис 204;+7 (495)229-39-82 ;5147750000000
ДОМ ДЛС, ООО;780201001;domdls.ru ;Швейные фабрики;7802678308;info@domdls.ru;Санкт-Петербург, Учительская ул., дом 23;+8 (800)551-21-07 ;1187850000000
ЭП-А, ООО;772601001;epatrade.ru/ ;Трансформаторные заводы;7726384409;epa.trade@yandex.ru;Москва, ул. Подольских Курсантов, дом 3, строение 2, этаж 2;+7 (800)500 49 69 ;1167750000000
Небеса, ООО;384901001;www.nebesa1.ru ;Мебельные фабрики;3849009908;nebesa1_2010@mail.ru;Иркутская область, Иркутск, Петрова, д. 18;+7 (3952)73-00-52 ;1103850000000
Иркутский Станкостроительный Завод, ООО;381201001;stankostroitel.ucoz.ru ;Станкостроительные заводы;3812535622;;Иркутск, ул. Рабочая, 2А; (3952)77-90-74, 33-63-29,(3952)33-63-33 (факс);1213800000000
Цвет, ОАО;440101001;www.cwet.ru ;Машиностроительные заводы;4401007025;info@cwet.ru;Костромская область, Кострома, ул. Локомотивная, д. 1;+7 (4942)77-82-03 ;1024400000000
КОК, ООО;740401001;www.obuv-zlat.ru ;Обувные фабрики;7404068409;mag-bos@mail.ru;Челябинская обл., г. Куса, ул. 3-го Интернационала, д. 1;+7 (35154)3-31-39 ;1167460000000
Активпром, ООО;701701001;aktprom.ru/ ;Заводы металлоконструкций;7017418857;aktprom@mail.ru;Томск, пер. Шегарский, 54А;89039552920;1177030000000
Промснабкомплект, ООО;370301001;kompozit.pro ;Заводы полимерных материалов и изделий;3703015870;ms.kompozit@list.ru;Кинешма, ул. Шуйская, 3;+7 (49331)3-49-39 ;1043700000000
Гермес-Урал, ООО;668501001;germes-ural.ru ;Машиностроительные заводы;6672169834;germes-ural@bk.ru;620007, Россия, Свердловская область, Екатеринбург, Эстонская, 6;+7 (343)264-81-24 ;1046600000000
"Вбкк, АО (АО ""ВБКК"")";332701001;rosvkus.ru ;Кондитерские фабрики;3302000838;oaovbkk@bk.ru;Владимирская область, Владимир, ул. Хлебозаводская, 18;7492212;1033300000000
Барнаульский ВРЗ, АО;222401001;www.b-vrz.ru ;Вагоноремонтные заводы;2224100213;vagon@b-vrz.com;Алтайский край, Барнаул, ул. Водопроводная, 122; (3852)285-300 ;1062220000000
НПК Армастек Липецк;;;Арматурные заводы;;armastekl@mail.ru;Липецкая область, Липецк, Заводская пл., д. 10;8 (4742)90-15-18, 39-18-43 ;
Диев и Компания, ООО;673201001;www.dievcompany.com/ ;Мясоперерабатывающие заводы;6732138255;dievan1@rambler.ru;Смоленская область, Смоленск, Шевченко, д. 101; (4812)304641, 304642 ;1166730000000
Йошкар-Олинский Консервный Завод, ООО;772701001;www.iokz.ru ;Консервные заводы;7709970442;;Йошкар-Ола, ул. Машиностроителей, 72;74997050300;1147750000000
"ООО ""ФЕНИКС""";;fenix-lip.ru ;Машиностроительные заводы;7706092528;d.tsibulkin@fenix-lip.ru;378007, Россия, г. Липецк, ул. Ковалева, стр. 115/3, офис 1;79513086512;1027740000000
ИП Васильева Анна Николаевна ;;;Металлообрабатывающие заводы;5,04E+11;stroysnami-23.ru@yandex.ru;Раменское, с. Строкино, ул. Заречная 42а ;79264846804;320508000000000
Сигма, ООО;774301001;sigma-peregorodki.ru ;Керамические заводы;7743786676;mail+289504@sigma-peregorodki.ru;Московская обл., г. Москва, Ленинградское шоссе, д. 300А;+7 (499)648-01-67 ;1107750000000
Классик Вышивальные Системы Санкт-Петербург;;www.embroid.ru ;Станкостроительные заводы;;sale@embroid.ru;Ленинградская обл., г. Санкт-Петербург, ул. Киевская, д. 2;+7 (921)372-04-45 ;
Радиозавод, АО;583501001;www.penza-radiozavod.ru ;Заводы радиоаппаратуры;5835049799;radio@rf58.ru;Пензенская область, Пенза, ул. Байдукова, 1; (8412)59-64-09 ;1045800000000
Европласт-Бис, ООО;781101001;evroplast-paket.spb.ru ;Заводы полимерных материалов и изделий;7811252756;evroplast2@yandex.ru;Санкт-Петербург, Дальневосточный пр., 13/3, корпус 3;7812227;1157850000000
"ТД ""Балтийский Камень"", ООО";771901001;www.formastone.ru ;Механические заводы;7719479709;info@fostogran.ru;Москва, пл. Журавлева, д. 10, оф. 126;+8 (800)700-68-25 ;1187750000000
Адамант СПб, ООО;781101001;udarnik.spb.ru ;Заводы ЖБИ;7806531377;udarnik@zmuspb.ru;Ленинградская область, Санкт-Петербург, Глухоозерское шоссе, 12;+7 (812)412-67-90 ;1147850000000
Лисин Павел Валентинович, ИП;;pfpk.ru ;Заводы полимерных материалов и изделий;5,84E+11;info@pfpk.ru;Пенза, ул. Пушкина, 43;+7 (8412)205-000 ;304584000000000
ООО НЕО;781101001;neooil.ru/ ;Нефтеперерабатывающие заводы;7811680141;rop@neooil.ru;192019, г. Санкт-Петербург, ул. Седова, дом № 10, литера Н, помещение 2-Н ;89105385090;1187850000000
Микс, АО;772101001;;Тракторные заводы;7721023783;imd@zavod-miks.ru;Московская обл., г. Москва, 2-й Вязовский пр-д, д. 10;;1027700000000
ДК, ООО;761001001;www.fox-cub.com ;Трикотажные фабрики;7610125109;info@fox-cub.com;Рыбинск, ул. Алябьева, 6Б, офис 1;+7 (485)228-00-67 ;1177630000000
Кидстейшн, ООО;783901001;www.kidstation.ru ;Целлюлозно-бумажные комбинаты;7807380233;zakaz@kidstation.ru;Санкт-Петербург, наб. Обводного канала, д. 136, офис 214;+8 (921)41-41-125 ;1137850000000
"НПФ ""Технахим"", ООО";667801001;tehnahim.com/ ;Медицинские заводы;6659005474;tehnahim@mail.ru;Екатеринбург, ул. Корепина, 50/2;+7 (343)217-98-27 ;1036600000000
Бином Инфинити Москва;;www.sumki-binom.ru ;Производители галантерейных изделий;;info@sumki-binom.ru;Москва, ул. Клязьминская, 21, к. 2;+7 (800)550-47-25 ;
Герон, ЗАО;701701001;www.geron2004.ru ;Электродные заводы;7021054666;geron2004@mail.ru;Томская область, Томск, ул. Высоцкого, д. 25, стр. 3;+7 (3822)634-222 ;1027000000000
АВС Продукт, ООО;644901001;avs-produkt.com/ ;Производители бакалеи;6449076341;marketing@avs-produkt.com;Саратовская область, Энгельс, ул. Студенческая, д. 205, кор. 3;7845272;1146450000000
Электрозавод, АО;771801001;www.elektrozavod.ru ;Трансформаторные заводы;7718013390;sales@erso.group;Москва, ул. Электрозаводская, 21;7804619;1027700000000
Милованова Ирина Владимировна, ИП;;irmikids.ru/ ;Швейные фабрики;6,15E+11;info@irmikids.ru;Балашиха, мкр Павлино, д 39, кв 159;79163218195;316501000000000
"ООО ""КМ-профиль""";;km-profil.ru ;Заводы металлоконструкций;502401001;info@km-profil.ru;Московская область, г. Красногорск, рп. Нахабино, Вокзальный переулок, д.6;8 (495)981-00-64 ;1085020000000
ТД Сильвестри, ООО;616701001;;Кондитерские фабрики;6167144593;Elena-is29@yandex.ru;Ростовская область, Ростов-на-Дону, Петрожицкого, д. 1;;1186200000000
Фривэй, ООО;262801001;frivay.ru ;Обувные фабрики;2628053311;dizak2005@mail.ru;Ставропольский край, Кисловодск, ул. Украинская 20;79283000330;1092630000000
ЛамиПак типография Мытищи;;;Полиграфические комбинаты;;lamipak@yandex.ru;Московская область, Мытищи, Угольная, 6;84957263314;
"ПКО ""ХСИ"", ООО";774301001;him-stroy.ru ;Заводы строительных материалов;7743321053;info@him-stroy.ru;Московская область, Москва, ул. Онежская, д. 24;+7 (800)777-03-26 ;1197750000000
И. К. Велес, ООО;503101001;www.technoheat.ru ;Заводы металлоконструкций;5012036113;info@technoheat.ru;Московская область, Реутов, Северный проезд, д. 1;+7 (495)744-11-64 ;1065010000000
Кокс, ПАО;420501001;www.kemkoks.ru/ ;Коксохимические заводы;4205001274;export@kem.metholding.ru;Кемеровская область, Кемерово, ул. 1-я Стахановская, 6;+7 (3842)57-06-92 ;1024200000000
"ПКП ""Брянский ЛЕС"", ООО";325701001;b-les.com ;Мебельные фабрики;3207006438;ponamarev@b-les.com;Брянская область, Брянск, ул. Литейная, д. 87;+7 (495)150-00-32 ;1023200000000
Биотех Росва, АО;402801001;www.biorosva.com ;Крахмалопаточные заводы;4029045298;info@biorosva.ru;Калужская область, с. Росва, территория индустриальный парк Росва;7484171;1114030000000
Атлас Уфа;;;Мебельные фабрики;;ufatorg@bk.ru;Башкортостан респ., г. Уфа, ул. Бакалинская, д. 11, офис 101;8 (987)252-79-63, 8 (347)246-35-84, 8 (347)266-11-49 ;
Дюто Пенза;;www.dyuto.ru ;Швейные фабрики;;dyuto.dyuto@yandex.ru;Пензенская область, Пенза, Гоголя, д. 51/53;78002222316;
Русал УРАЛ, АО;661201001;;Алюминиевые заводы;6612005052;uaz@rusal.com;Свердловская область, Каменск-Уральский, ул. Заводская, 4; (3439)39-41-89 ;1026600000000
